"node" "R" "H"
1 0.905151023979994 4.09007439535524
2 0.342823669951703 8.28653093201204
3 0.174000002507456 4.66362979609304
4 -0.238023778256461 4.51723075788536
5 0.332830784645321 4.13754661538022
6 1.29206420755641 2.38328265431734
7 1.22550771269471 7.50126069594243
8 1.78094867172976 3.62187846761465
9 1.41805955033652 2.31067390740786
10 1.74277906714383 1.07291541822378
11 0.333206586274767 3.34377478768807
12 0.334793951829358 5.34853589888242
13 -1.46915972762929 9.9197576880401
14 1.07368974595278 3.92160136294665
15 0.185287400004272 8.42743210834558
16 -0.891819654824395 7.57874629434265
17 -0.235825644309103 5.22907735665342
18 -1.50761909948596 7.56469894419254
19 -0.0111107960055391 5.18833442182193
20 -0.897359134983553 6.95992135195658
21 1.9573992673877 1.61402311086046
22 0.333106648701718 3.39760531377675
23 0.715308788554831 7.95426581179145
24 -0.900745968096925 6.57715290983286
25 1.07368733160299 3.92160296135435
26 1.82912288475997 1.89786367055137
27 -1.46915526536318 9.91972933840683
28 1.47704445057477 2.19768315146113
29 -3.1178494582098 8.78046494708772
30 -0.520696021791645 5.22056979253419
31 -1.51378720583308 7.1864566747097
32 1.82788266963184 6.9694486382532
33 0.708901389423096 4.28614663247487
34 -3.16729059542378 8.15157119257908
35 0.812238228757902 5.26445737805843
36 0.811044309790825 4.02723793571828
37 -0.513138301979028 6.57909800271702
38 -1.51378931683696 7.18645916099018
39 1.29374998474161 2.01827949453168
40 -3.13787077828521 8.52287860403443
41 -1.46915984313563 9.91975798272457
42 -1.46915996376687 9.91975902970648
43 0.473885762713645 5.2101192425475
44 0.17902328637472 6.52561069773217
45 1.63859616756881 7.13623168433414
46 -3.04901142755227 9.69993726052181
47 -0.0132320354177348 4.20810250500132
48 1.41655007806109 2.86176132993713
49 -1.51378629139338 7.18645558858447
50 2.55462818725742 6.33163471419714
51 0.811482235498507 3.23076741027367
52 0.333021934667908 3.45390052173592
53 -1.527004446928 6.36079470530158
54 -0.513139633749975 6.57910029746766
55 0.811187482481868 3.46815374425418
56 0.994003044175421 2.6820989669883
57 -0.237211610417123 4.81631381177264
58 -0.89181835664373 7.57874799010722
59 -0.891814891089081 7.57874324736442
60 1.78263265264787 2.33077445859248
61 1.2229549062303 5.4977306558105
62 -3.04901479463884 9.69994091638398
63 -1.46915768933177 9.91974423265359
64 2.0394732509061 1.05022559826877
65 -1.46915966876607 9.91975452372165
66 -0.238024046201944 4.51723109463329
67 -0.513144757646198 6.57911041276441
68 0.472605338252068 4.36542812723514
69 1.15396114049004 7.5646533679614
70 -1.46915655939839 9.91973831744449
71 -0.905054634892197 6.07934613070225
72 -3.09093107158455 9.13356605843078
73 2.22624074290526 0.192729890966567
74 0.17902335449405 6.52561322127119
75 -0.00815609237645227 6.07845942725413
76 0.597961291425327 2.93024936555098
77 1.22203582448005 3.35746971034119
78 1.15422913371835 2.04441854753303
79 0.596767060492848 3.51938154588351
80 -1.49761603155548 8.17438580098619
81 0.476114775780944 6.2332907987018
82 1.70410110722286 0.149492339350525
83 1.83188893052647 1.36402687440347
84 -1.49761554747829 8.17438663172598
85 1.64937881276164 0.645005200211817
86 1.29111481232784 2.68087561870096
87 1.22550646319585 7.50126916189515
88 1.82957973406796 1.79204103721465
89 0.715308474780208 7.95428817630897
90 -3.09093053846101 9.13356539004428
91 -0.517047580074632 5.9142911711024
92 -0.50930012740435 7.20256204864496
93 -0.49770751490793 9.04079342502024
94 -0.0120269472667568 4.84933679459432
95 -0.911237957836942 5.280911426007
96 0.332745272904057 3.9467483188272
97 -0.906510007873185 5.89795068406314
98 -1.54212625694554 5.32837721454504
99 0.472367077464374 3.72256956313942
100 -1.46915925727446 9.91975128981177
101 0.177087446012498 5.89474290387217
102 -3.1378698036787 8.52287761987948
103 2.21524958519767 6.62905772577303
104 0.994746852016496 2.48689240392584
105 -0.875382297757821 9.38163918024566
106 -0.905018550263801 6.0793173269144
107 -0.89181540499054 7.57874414030756
108 -0.521742145925444 4.99128176562801
109 1.47445851506344 4.21305790559062
110 -0.219436950464805 8.79040493862347
111 -0.497709844437597 9.04077715310206
112 2.14743223577628 1.63396782418846
113 0.179023538568944 6.5256105131944
114 1.15315575179818 2.24096864635202
115 0.60407560207464 8.05335463638789
116 0.709321072082877 3.1982658724048
117 -0.0120312959286774 4.84934478888385
118 0.6040751749786 8.05337414171997
119 -1.49761579431227 8.17438612282816
