"batch" "number.removed.egdes" "fraction.removed.edges" "CommonNeighbor" "CommonSuc" "CommonPre" "Jaccard" "ProdOutDeg" "ProdInDeg" "ProdDeg" "ShortestPath" "Model" 
b1 235 0.100 0.78682 0.68421 0.65152 0.76423 0.64286 0.68908 0.72034 0.78439 0.78723 
b2 471 0.200 0.77737 0.62481 0.65719 0.77108 0.63180 0.73278 0.75687 0.78532 0.81529 
b3 707 0.300 0.77698 0.62809 0.63953 0.75765 0.66164 0.69876 0.74965 0.75780 0.78359 
b4 943 0.400 0.72945 0.60141 0.59746 0.70743 0.65711 0.69121 0.75895 0.75285 0.78049 
b5 1179 0.500 0.68582 0.57301 0.56686 0.68238 0.64381 0.67817 0.73913 0.72549 0.76600 
b6 1415 0.600 0.63471 0.54646 0.55473 0.62984 0.63536 0.66789 0.71358 0.72680 0.75000 
b7 1651 0.700 0.58521 0.52782 0.53603 0.58112 0.60653 0.64292 0.71331 0.65865 0.76000 
b8 1887 0.800 0.54520 0.51347 0.51685 0.54361 0.59510 0.62006 0.69885 0.56478 0.75600 
b9 2123 0.900 0.51433 0.50354 0.50610 0.51433 0.56343 0.54557 0.62957 0.50958 0.68200 
