1	35
1	34
1	3
1	4
1	5
1	8
1	42
1	45
1	44
1	13
1	14
1	15
1	50
1	18
1	19
1	20
1	22
2	6
2	7
2	9
2	10
2	11
2	12
2	14
2	16
2	21
2	24
2	26
2	30
2	31
2	32
2	33
2	36
2	37
2	39
2	40
2	43
2	46
2	47
2	49
3	35
3	38
3	8
3	10
3	45
3	47
3	16
3	50
3	18
3	42
3	20
3	22
3	24
3	25
3	27
3	29
4	45
4	35
4	5
4	8
4	42
4	44
4	13
4	15
4	48
4	50
4	18
4	19
4	20
4	22
4	25
5	34
5	50
5	48
5	8
5	42
5	45
5	44
5	13
5	15
5	16
5	18
5	19
5	20
5	22
5	23
5	27
5	29
6	7
6	9
6	11
6	12
6	16
6	17
6	21
6	24
6	26
6	28
6	31
6	32
6	36
6	37
6	38
6	39
6	40
6	41
6	43
6	46
6	47
6	49
7	32
7	36
7	38
7	40
7	41
7	10
7	12
7	14
7	47
7	16
7	17
7	46
7	22
7	23
7	24
7	25
7	26
7	29
8	42
8	34
8	35
8	44
8	10
8	12
8	13
8	45
8	48
8	50
8	19
8	20
8	22
8	25
8	27
8	29
9	33
9	36
9	37
9	39
9	11
9	12
9	46
9	16
9	17
9	21
9	24
9	26
9	38
9	30
9	31
10	32
10	36
10	38
10	41
10	43
10	14
10	40
10	18
10	35
10	25
10	29
11	32
11	33
11	36
11	37
11	49
11	46
11	17
11	26
11	28
11	30
11	31
12	14
12	16
12	17
12	21
12	23
12	24
12	25
12	26
12	30
12	31
12	36
12	37
12	38
12	39
12	40
12	41
12	43
12	46
12	47
12	49
13	50
13	41
13	42
13	44
13	45
13	15
13	48
13	18
13	19
13	20
13	22
13	23
13	25
13	27
13	29
14	43
14	33
14	38
14	40
14	41
14	39
14	46
14	16
14	17
14	49
14	23
14	24
14	25
14	26
14	27
14	29
15	34
15	50
15	42
15	44
15	48
15	18
15	19
15	20
16	21
16	23
16	24
16	25
16	26
16	28
16	32
16	33
16	36
16	37
16	38
16	39
16	40
16	41
16	46
16	47
17	32
17	33
17	37
17	47
17	21
17	46
17	24
17	39
17	26
17	28
17	30
17	31
18	34
18	45
18	44
18	48
18	50
18	19
18	20
18	22
18	42
19	34
19	50
19	42
19	45
19	44
19	48
19	20
19	22
19	25
20	34
20	35
20	42
20	45
20	44
20	48
20	50
20	22
20	27
20	29
21	23
21	24
21	26
21	28
21	30
21	31
21	32
21	33
21	36
21	37
21	38
21	39
21	40
21	41
21	43
21	46
21	49
22	35
22	44
22	45
22	50
22	23
22	25
22	27
22	29
23	32
23	33
23	43
23	36
23	38
23	40
23	41
23	39
23	47
23	49
23	25
23	29
24	25
24	26
24	31
24	36
24	37
24	38
24	39
24	41
24	43
24	46
24	47
24	49
25	26
25	27
25	29
25	32
25	38
25	40
25	41
25	42
25	43
25	46
25	48
26	28
26	30
26	32
26	33
26	36
26	37
26	38
26	39
26	40
26	41
26	43
26	46
26	47
26	49
27	41
27	42
27	43
27	44
27	45
27	35
27	29
28	32
28	33
28	49
28	39
28	40
28	30
28	31
29	38
29	45
29	35
30	33
30	49
30	39
30	40
30	46
30	31
31	33
31	36
31	37
31	47
32	33
32	36
32	37
32	38
32	39
32	40
32	41
32	43
32	46
32	47
32	49
33	49
33	36
33	37
33	38
33	39
33	40
33	46
34	50
34	42
34	44
34	45
34	48
35	44
35	50
36	37
36	38
36	39
36	40
36	41
36	46
36	47
36	49
37	43
37	38
37	39
37	46
37	47
37	49
38	39
38	40
38	41
38	43
38	46
38	47
39	40
39	41
39	43
39	46
39	47
40	41
40	43
40	46
40	47
40	49
41	43
41	47
41	49
42	45
42	44
42	48
42	50
43	49
43	46
43	47
44	45
44	48
44	50
45	48
45	50
46	47
46	49
48	50
